,Unnamed: 0,Application,Images,Epochs,Batchsize,Jobs,GpuType,GpuNumber,ExecutionTime,min,max,Memory
0,0,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,1,65225.02202999999,19585.08341,226670.0522,4
1,1,pytorch_alexnet,130000,500,128,J1,M60,1,85155.5503715764,19585.08341,226670.0522,4
2,2,pytorch_alexnet,130000,500,128,J1,K80,1,84777.89652000001,19585.08341,226670.0522,4
3,3,pytorch_alexnet,130000,500,128,J1,Quadro P600,1,226670.0522,19585.08341,226670.0522,4
4,4,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,2,77806.82932,19585.08341,226670.0522,4
5,5,pytorch_alexnet,130000,500,128,J1,M60,2,83129.04691834586,19585.08341,226670.0522,4
6,6,pytorch_alexnet,130000,500,128,J1,K80,2,83999.86464,19585.08341,226670.0522,4
7,7,pytorch_alexnet,130000,500,128,J1,Quadro P600,2,128941.7545,19585.08341,226670.0522,4
8,8,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,3,81074.3321,19585.08341,226670.0522,4
9,9,pytorch_alexnet,130000,500,128,J1,M60,3,81150.76952,19585.08341,226670.0522,4
10,10,pytorch_alexnet,130000,500,128,J1,K80,3,81219.97125,19585.08341,226670.0522,4
11,11,pytorch_alexnet,130000,500,128,J1,Quadro P600,3,82276.85182000001,19585.08341,226670.0522,4
12,12,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,4,82013.25876,19585.08341,226670.0522,4
13,13,pytorch_alexnet,130000,500,128,J1,M60,4,79875.24173,19585.08341,226670.0522,4
14,14,pytorch_alexnet,130000,500,128,J1,K80,4,77939.61249,19585.08341,226670.0522,4
15,15,pytorch_alexnet,130000,500,128,J1,Quadro P600,4,48377.79786,19585.08341,226670.0522,4
16,16,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,5,82020.75497000001,19585.08341,226670.0522,4
17,17,pytorch_alexnet,130000,500,128,J1,M60,5,78052.07057000001,19585.08341,226670.0522,4
18,18,pytorch_alexnet,130000,500,128,J1,K80,5,74459.06757,19585.08341,226670.0522,4
19,19,pytorch_alexnet,130000,500,128,J1,Quadro P600,5,19585.08341,19585.08341,226670.0522,4
20,20,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,6,81562.53595,19585.08341,226670.0522,4
21,21,pytorch_alexnet,130000,500,128,J1,M60,6,75955.07771,19585.08341,226670.0522,4
22,22,pytorch_alexnet,130000,500,128,J1,K80,6,70878.42958,19585.08341,226670.0522,4
23,23,pytorch_alexnet,130000,500,128,J1,Quadro P600,6,19585.08341,19585.08341,226670.0522,4
24,24,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,7,80838.19394,19585.08341,226670.0522,4
25,25,pytorch_alexnet,130000,500,128,J1,M60,7,73701.61532000001,19585.08341,226670.0522,4
26,26,pytorch_alexnet,130000,500,128,J1,K80,7,67240.59555,19585.08341,226670.0522,4
27,27,pytorch_alexnet,130000,500,128,J1,Quadro P600,7,67240.59555,19585.08341,226670.0522,4
28,28,pytorch_alexnet,130000,500,128,J1,GTX 1080Ti,8,79947.52507,19585.08341,226670.0522,4
29,29,pytorch_alexnet,130000,500,128,J1,M60,8,71350.35947000001,19585.08341,226670.0522,4
30,30,pytorch_alexnet,130000,500,128,J1,K80,8,63567.01399,19585.08341,226670.0522,4
31,31,pytorch_alexnet,130000,500,128,J1,Quadro P600,8,63567.01399,19585.08341,226670.0522,4
32,32,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,1,194440.5221,22023.70207,619154.6944,6
33,33,pytorch_alexnet,130000,1500,256,J10,M60,1,253025.57429006943,22023.70207,619154.6944,6
34,34,pytorch_alexnet,130000,1500,256,J10,K80,1,245878.3576,22023.70207,619154.6944,6
35,35,pytorch_alexnet,130000,1500,256,J10,Quadro P600,1,619154.6944,22023.70207,619154.6944,6
36,36,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,2,228225.6616,22023.70207,619154.6944,6
37,37,pytorch_alexnet,130000,1500,256,J10,M60,2,240864.22691934,22023.70207,619154.6944,6
38,38,pytorch_alexnet,130000,1500,256,J10,K80,2,238519.4819,22023.70207,619154.6944,6
39,39,pytorch_alexnet,130000,1500,256,J10,Quadro P600,2,313220.1279,22023.70207,619154.6944,6
40,40,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,3,234682.4701,22023.70207,619154.6944,6
41,41,pytorch_alexnet,130000,1500,256,J10,M60,3,229287.399,22023.70207,619154.6944,6
42,42,pytorch_alexnet,130000,1500,256,J10,K80,3,224403.0331,22023.70207,619154.6944,6
43,43,pytorch_alexnet,130000,1500,256,J10,Quadro P600,3,149806.7646,22023.70207,619154.6944,6
44,44,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,4,234307.19600000005,22023.70207,619154.6944,6
45,45,pytorch_alexnet,130000,1500,256,J10,M60,4,220813.5285,22023.70207,619154.6944,6
46,46,pytorch_alexnet,130000,1500,256,J10,K80,4,208597.1911,22023.70207,619154.6944,6
47,47,pytorch_alexnet,130000,1500,256,J10,Quadro P600,4,22023.70207,22023.70207,619154.6944,6
48,48,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,5,231199.0887,22023.70207,619154.6944,6
49,49,pytorch_alexnet,130000,1500,256,J10,M60,5,210686.4629,22023.70207,619154.6944,6
50,50,pytorch_alexnet,130000,1500,256,J10,K80,5,192115.5918,22023.70207,619154.6944,6
51,51,pytorch_alexnet,130000,1500,256,J10,Quadro P600,5,192115.5918,22023.70207,619154.6944,6
52,52,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,6,226724.565,22023.70207,619154.6944,6
53,53,pytorch_alexnet,130000,1500,256,J10,M60,6,199732.7996,22023.70207,619154.6944,6
54,54,pytorch_alexnet,130000,1500,256,J10,K80,6,175296.1138,22023.70207,619154.6944,6
55,55,pytorch_alexnet,130000,1500,256,J10,Quadro P600,6,175296.1138,22023.70207,619154.6944,6
56,56,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,7,221469.2317,22023.70207,619154.6944,6
57,57,pytorch_alexnet,130000,1500,256,J10,M60,7,188306.7949,22023.70207,619154.6944,6
58,58,pytorch_alexnet,130000,1500,256,J10,K80,7,158283.5624,22023.70207,619154.6944,6
59,59,pytorch_alexnet,130000,1500,256,J10,Quadro P600,7,158283.5624,22023.70207,619154.6944,6
60,60,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,8,215725.8926,22023.70207,619154.6944,6
61,61,pytorch_alexnet,130000,1500,256,J10,M60,8,176585.5768,22023.70207,619154.6944,6
62,62,pytorch_alexnet,130000,1500,256,J10,K80,8,141150.3399,22023.70207,619154.6944,6
63,63,pytorch_alexnet,130000,1500,256,J10,Quadro P600,8,141150.3399,22023.70207,619154.6944,6
64,64,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,1,193850.0637,101555.1174,588961.216,8
