Jobs,Application,Epochs,Batchsize,GpuType,GpuNumber,TimePerEpoch,ExecutionTime
J1,LSTMbig,120,8192,TESLA,1,43.0842,5170.104
J1,LSTMbig,120,8192,TESLA,2,30.5512,3666.1440000000002
J1,LSTMbig,120,8192,TURING,1,110.7112,13285.344
J2,LSTMsmall,120,8192,TESLA,1,43.0261,5163.1320000000005
J2,LSTMsmall,120,8192,TESLA,2,30.5871,3670.452
J2,LSTMsmall,120,8192,TURING,1,110.6581,13278.972
J3,efficientNet,120,4096,TESLA,1,51.6221,6194.651999999999
J3,efficientNet,120,4096,TESLA,2,41.2372,4948.464
J3,efficientNet,120,4096,TURING,1,88.9881,10678.572
J4,LSTMbig,160,8192,TESLA,1,43.0842,6893.472
J4,LSTMbig,160,8192,TESLA,2,30.5512,4888.192
J4,LSTMbig,160,8192,TURING,1,110.7112,17713.792
J5,LSTMsmall,160,8192,TESLA,1,43.0261,6884.1759999999995
J5,LSTMsmall,160,8192,TESLA,2,30.5871,4893.936
J5,LSTMsmall,160,8192,TURING,1,110.6581,17705.296000000002
J6,efficientNet,160,4096,TESLA,1,51.6221,8259.536
J6,efficientNet,160,4096,TESLA,2,41.2372,6597.951999999999
J6,efficientNet,160,4096,TURING,1,88.9881,14238.096000000001
J7,LSTMbig,320,8192,TESLA,1,43.0842,13786.944
J7,LSTMbig,320,8192,TESLA,2,30.5512,9776.384
J7,LSTMbig,320,8192,TURING,1,110.7112,35427.584
J8,LSTMsmall,320,8192,TESLA,1,43.0261,13768.351999999999
J8,LSTMsmall,320,8192,TESLA,2,30.5871,9787.872
J8,LSTMsmall,320,8192,TURING,1,110.6581,35410.592000000004
J9,convolutionNet,320,8192,TESLA,1,20.5382,6572.224
J9,convolutionNet,320,8192,TESLA,2,17.8042,5697.344
J9,convolutionNet,320,8192,TURING,1,41.2582,13202.624
J10,convolutionNet,160,8192,TESLA,1,20.5382,3286.112
J10,convolutionNet,160,8192,TESLA,2,17.8042,2848.672
J10,convolutionNet,160,8192,TURING,1,41.2582,6601.312
